ENDW,AREGWLD,ENDWRES,SCEN,Value
AEZ1,HighIncome,pe,BAU,173.63597107
AEZ2,HighIncome,pe,BAU,186.81144714
AEZ3,HighIncome,pe,BAU,180.96759033
AEZ4,HighIncome,pe,BAU,67.847351074
AEZ5,HighIncome,pe,BAU,90.248184204
AEZ6,HighIncome,pe,BAU,79.577407837
AEZ7,HighIncome,pe,BAU,72.337890625
AEZ8,HighIncome,pe,BAU,79.447669983
AEZ9,HighIncome,pe,BAU,102.56787109
AEZ10,HighIncome,pe,BAU,106.68843842
AEZ11,HighIncome,pe,BAU,95.645263672
AEZ12,HighIncome,pe,BAU,99.817367554
AEZ13,HighIncome,pe,BAU,137.77732849
AEZ14,HighIncome,pe,BAU,137.80764771
AEZ15,HighIncome,pe,BAU,148.10011292
AEZ16,HighIncome,pe,BAU,143.32574463
AEZ17,HighIncome,pe,BAU,148.10011292
AEZ18,HighIncome,pe,BAU,148.10011292
UnSkLab,HighIncome,pe,BAU,7.47723830863833E-0003
SkLab,HighIncome,pe,BAU,-1.2677770853
Capital,HighIncome,pe,BAU,-14.930911064
NatRes,HighIncome,pe,BAU,138.102005
AEZ1,MidIncome,pe,BAU,98.378677368
AEZ2,MidIncome,pe,BAU,177.13674927
AEZ3,MidIncome,pe,BAU,91.560203552
AEZ4,MidIncome,pe,BAU,127.90539551
AEZ5,MidIncome,pe,BAU,135.04310608
AEZ6,MidIncome,pe,BAU,63.001369476
AEZ7,MidIncome,pe,BAU,91.939880371
AEZ8,MidIncome,pe,BAU,51.262142181
AEZ9,MidIncome,pe,BAU,41.408466339
AEZ10,MidIncome,pe,BAU,36.82692337
AEZ11,MidIncome,pe,BAU,34.620071411
AEZ12,MidIncome,pe,BAU,31.86374855
AEZ13,MidIncome,pe,BAU,38.692432404
AEZ14,MidIncome,pe,BAU,29.822320938
AEZ15,MidIncome,pe,BAU,35.760295868
AEZ16,MidIncome,pe,BAU,60.994049072
AEZ17,MidIncome,pe,BAU,35.021099091
AEZ18,MidIncome,pe,BAU,32.471569061
UnSkLab,MidIncome,pe,BAU,11.543559074
SkLab,MidIncome,pe,BAU,4.0288238525
Capital,MidIncome,pe,BAU,-13.839616776
NatRes,MidIncome,pe,BAU,114.98146057
AEZ1,LowIncome,pe,BAU,66.156005859
AEZ2,LowIncome,pe,BAU,66.080833435
AEZ3,LowIncome,pe,BAU,57.402809143
AEZ4,LowIncome,pe,BAU,64.855056763
AEZ5,LowIncome,pe,BAU,64.150444031
AEZ6,LowIncome,pe,BAU,50.46062088
AEZ7,LowIncome,pe,BAU,29.303218842
AEZ8,LowIncome,pe,BAU,26.005502701
AEZ9,LowIncome,pe,BAU,35.923080444
AEZ10,LowIncome,pe,BAU,34.385948181
AEZ11,LowIncome,pe,BAU,46.8554039
AEZ12,LowIncome,pe,BAU,37.184505463
AEZ13,LowIncome,pe,BAU,63.161781311
AEZ14,LowIncome,pe,BAU,35.335277557
AEZ15,LowIncome,pe,BAU,34.352954865
AEZ16,LowIncome,pe,BAU,47.475013733
AEZ17,LowIncome,pe,BAU,70.519844055
AEZ18,LowIncome,pe,BAU,70.63873291
UnSkLab,LowIncome,pe,BAU,4.7959690094
SkLab,LowIncome,pe,BAU,4.9549798965
Capital,LowIncome,pe,BAU,-6.5998244286
NatRes,LowIncome,pe,BAU,80.990005493
AEZ1,World,pe,BAU,102.32681274
AEZ2,World,pe,BAU,173.1423645
AEZ3,World,pe,BAU,96.011299133
AEZ4,World,pe,BAU,110.69402313
AEZ5,World,pe,BAU,126.62297058
AEZ6,World,pe,BAU,64.159835815
AEZ7,World,pe,BAU,86.576850891
AEZ8,World,pe,BAU,45.526390076
AEZ9,World,pe,BAU,40.918907166
AEZ10,World,pe,BAU,36.516620636
AEZ11,World,pe,BAU,41.142292023
AEZ12,World,pe,BAU,32.960720062
AEZ13,World,pe,BAU,46.389778137
AEZ14,World,pe,BAU,33.396507263
AEZ15,World,pe,BAU,36.489776611
AEZ16,World,pe,BAU,60.921966553
AEZ17,World,pe,BAU,52.550468445
AEZ18,World,pe,BAU,51.867103577
UnSkLab,World,pe,BAU,7.4521799088
SkLab,World,pe,BAU,4.4595537186
Capital,World,pe,BAU,-10.162806511
NatRes,World,pe,BAU,108.48625946
AEZ1,HighIncome,qe,BAU,0.39035826921
AEZ2,HighIncome,qe,BAU,0.70748507977
AEZ3,HighIncome,qe,BAU,2.6403801441
AEZ4,HighIncome,qe,BAU,2.8924715519
AEZ5,HighIncome,qe,BAU,1.8785668612
AEZ6,HighIncome,qe,BAU,0.40863871574
AEZ7,HighIncome,qe,BAU,0.13476859033
AEZ8,HighIncome,qe,BAU,0.074183493853
AEZ9,HighIncome,qe,BAU,0.074775695801
AEZ10,HighIncome,qe,BAU,0.10241035372
AEZ11,HighIncome,qe,BAU,0.10475967824
AEZ12,HighIncome,qe,BAU,-3.39428219012916E-0003
UnSkLab,HighIncome,qe,BAU,13.8125
SkLab,HighIncome,qe,BAU,14.347101212
Capital,HighIncome,qe,BAU,35.490585327
AEZ1,MidIncome,qe,BAU,0.048541542143
AEZ2,MidIncome,qe,BAU,2.3331038952
AEZ3,MidIncome,qe,BAU,1.4652407169
AEZ4,MidIncome,qe,BAU,2.5998988152
AEZ5,MidIncome,qe,BAU,2.2277503014
AEZ6,MidIncome,qe,BAU,4.5996541977
AEZ7,MidIncome,qe,BAU,0.16009505093
AEZ8,MidIncome,qe,BAU,0.36316221952
AEZ9,MidIncome,qe,BAU,0.19947759807
AEZ10,MidIncome,qe,BAU,0.090176038444
AEZ11,MidIncome,qe,BAU,0.04461639747
AEZ12,MidIncome,qe,BAU,0.070429965854
AEZ13,MidIncome,qe,BAU,2.53753294236958E-0003
AEZ14,MidIncome,qe,BAU,0.019042883068
AEZ15,MidIncome,qe,BAU,0.10748074204
AEZ16,MidIncome,qe,BAU,1.27294726553373E-0004
AEZ17,MidIncome,qe,BAU,1.80577862920472E-0005
AEZ18,MidIncome,qe,BAU,1.75243476405740E-0005
UnSkLab,MidIncome,qe,BAU,3.501376152
SkLab,MidIncome,qe,BAU,11.450021744
Capital,MidIncome,qe,BAU,39.127365112
AEZ1,LowIncome,qe,BAU,8.03837925195694E-0003
AEZ2,LowIncome,qe,BAU,6.08006864786148E-0003
AEZ3,LowIncome,qe,BAU,9.49208624660969E-0003
AEZ4,LowIncome,qe,BAU,1.40139646828175E-0003
AEZ5,LowIncome,qe,BAU,1.43874000059441E-0004
AEZ6,LowIncome,qe,BAU,1.66309974156320E-0003
AEZ7,LowIncome,qe,BAU,0.08654499799
AEZ8,LowIncome,qe,BAU,0.26391625404
AEZ9,LowIncome,qe,BAU,0.11466803402
AEZ10,LowIncome,qe,BAU,0.24001201987
AEZ11,LowIncome,qe,BAU,0.20060643554
AEZ12,LowIncome,qe,BAU,0.045697458088
AEZ13,LowIncome,qe,BAU,9.59804128797259E-0006
AEZ14,LowIncome,qe,BAU,0.044108428061
AEZ15,LowIncome,qe,BAU,0.074401557446
AEZ16,LowIncome,qe,BAU,9.06966917682439E-0004
UnSkLab,LowIncome,qe,BAU,1.8011599779
SkLab,LowIncome,qe,BAU,0.9208163023
Capital,LowIncome,qe,BAU,15.96813488
AEZ1,World,qe,BAU,0.087077818811
AEZ2,World,qe,BAU,2.1009294987
AEZ3,World,qe,BAU,1.5211416483
AEZ4,World,qe,BAU,2.6535081863
AEZ5,World,qe,BAU,2.1509871483
AEZ6,World,qe,BAU,4.18689394
AEZ7,World,qe,BAU,0.15451093018
AEZ8,World,qe,BAU,0.33361953497
AEZ9,World,qe,BAU,0.18280445039
AEZ10,World,qe,BAU,0.16605468094
AEZ11,World,qe,BAU,0.11067486554
AEZ12,World,qe,BAU,0.067017450929
AEZ13,World,qe,BAU,2.00871168635786E-0003
AEZ14,World,qe,BAU,0.024494819343
AEZ15,World,qe,BAU,0.092988431454
AEZ16,World,qe,BAU,2.29141718591563E-0004
AEZ17,World,qe,BAU,1.13729111035354E-0005
AEZ18,World,qe,BAU,1.06940133264288E-0005
UnSkLab,World,qe,BAU,2.7076897621
SkLab,World,qe,BAU,5.0908107758
Capital,World,qe,BAU,26.42398262
AEZ1,HighIncome,pe,BAU_noES,153.34840393
AEZ2,HighIncome,pe,BAU_noES,162.06962585
AEZ3,HighIncome,pe,BAU_noES,158.53813171
AEZ4,HighIncome,pe,BAU_noES,80.236534119
AEZ5,HighIncome,pe,BAU_noES,104.15910339
AEZ6,HighIncome,pe,BAU_noES,106.24237823
AEZ7,HighIncome,pe,BAU_noES,82.475334167
AEZ8,HighIncome,pe,BAU_noES,91.509559631
AEZ9,HighIncome,pe,BAU_noES,114.96305084
AEZ10,HighIncome,pe,BAU_noES,118.88171387
AEZ11,HighIncome,pe,BAU_noES,105.68704987
AEZ12,HighIncome,pe,BAU_noES,110.75524902
AEZ13,HighIncome,pe,BAU_noES,131.65779114
AEZ14,HighIncome,pe,BAU_noES,131.67446899
AEZ15,HighIncome,pe,BAU_noES,136.92210388
AEZ16,HighIncome,pe,BAU_noES,134.20285034
AEZ17,HighIncome,pe,BAU_noES,136.92210388
AEZ18,HighIncome,pe,BAU_noES,136.92210388
UnSkLab,HighIncome,pe,BAU_noES,-5.7455291748
SkLab,HighIncome,pe,BAU_noES,-7.2625808716
Capital,HighIncome,pe,BAU_noES,-24.837612152
NatRes,HighIncome,pe,BAU_noES,243.63208008
AEZ1,MidIncome,pe,BAU_noES,85.90687561
AEZ2,MidIncome,pe,BAU_noES,110.67285919
AEZ3,MidIncome,pe,BAU_noES,75.6326828
AEZ4,MidIncome,pe,BAU_noES,97.701499939
AEZ5,MidIncome,pe,BAU_noES,111.83469391
AEZ6,MidIncome,pe,BAU_noES,82.828712463
AEZ7,MidIncome,pe,BAU_noES,77.910865784
AEZ8,MidIncome,pe,BAU_noES,63.145195007
AEZ9,MidIncome,pe,BAU_noES,56.901927948
AEZ10,MidIncome,pe,BAU_noES,57.499774933
AEZ11,MidIncome,pe,BAU_noES,54.063484192
AEZ12,MidIncome,pe,BAU_noES,48.867107391
AEZ13,MidIncome,pe,BAU_noES,65.512054443
AEZ14,MidIncome,pe,BAU_noES,50.620376587
AEZ15,MidIncome,pe,BAU_noES,58.720024109
AEZ16,MidIncome,pe,BAU_noES,84.505775452
AEZ17,MidIncome,pe,BAU_noES,51.851139069
AEZ18,MidIncome,pe,BAU_noES,47.887851715
UnSkLab,MidIncome,pe,BAU_noES,7.3350782394
SkLab,MidIncome,pe,BAU_noES,-1.2277514935
Capital,MidIncome,pe,BAU_noES,-22.185750961
NatRes,MidIncome,pe,BAU_noES,216.21730042
AEZ1,LowIncome,pe,BAU_noES,72.744361877
AEZ2,LowIncome,pe,BAU_noES,72.630401611
AEZ3,LowIncome,pe,BAU_noES,64.440544128
AEZ4,LowIncome,pe,BAU_noES,70.609313965
AEZ5,LowIncome,pe,BAU_noES,71.724411011
AEZ6,LowIncome,pe,BAU_noES,55.457794189
AEZ7,LowIncome,pe,BAU_noES,44.278503418
AEZ8,LowIncome,pe,BAU_noES,37.278835297
AEZ9,LowIncome,pe,BAU_noES,48.428436279
AEZ10,LowIncome,pe,BAU_noES,45.217365265
AEZ11,LowIncome,pe,BAU_noES,52.420009613
AEZ12,LowIncome,pe,BAU_noES,50.900405884
AEZ13,LowIncome,pe,BAU_noES,73.606361389
AEZ14,LowIncome,pe,BAU_noES,51.389160156
AEZ15,LowIncome,pe,BAU_noES,47.239501953
AEZ16,LowIncome,pe,BAU_noES,61.72718811
AEZ17,LowIncome,pe,BAU_noES,76.081481934
AEZ18,LowIncome,pe,BAU_noES,76.260810852
UnSkLab,LowIncome,pe,BAU_noES,3.6173779964
SkLab,LowIncome,pe,BAU_noES,4.1780138016
Capital,LowIncome,pe,BAU_noES,-11.139446259
NatRes,LowIncome,pe,BAU_noES,226.00672913
AEZ1,World,pe,BAU_noES,94.368484497
AEZ2,World,pe,BAU_noES,114.44150543
AEZ3,World,pe,BAU_noES,82.246520996
AEZ4,World,pe,BAU_noES,93.639396667
AEZ5,World,pe,BAU_noES,110.41474915
AEZ6,World,pe,BAU_noES,84.491134644
AEZ7,World,pe,BAU_noES,76.216094971
AEZ8,World,pe,BAU_noES,58.25976181
AEZ9,World,pe,BAU_noES,56.102619171
AEZ10,World,pe,BAU_noES,52.563899994
AEZ11,World,pe,BAU_noES,55.185768127
AEZ12,World,pe,BAU_noES,49.794830322
AEZ13,World,pe,BAU_noES,71.285301208
AEZ14,World,pe,BAU_noES,53.831687927
AEZ15,World,pe,BAU_noES,55.907215118
AEZ16,World,pe,BAU_noES,83.21647644
AEZ17,World,pe,BAU_noES,69.020706177
AEZ18,World,pe,BAU_noES,67.872184753
UnSkLab,World,pe,BAU_noES,5.0144882202
SkLab,World,pe,BAU_noES,1.7057647705
Capital,World,pe,BAU_noES,-16.963502884
NatRes,World,pe,BAU_noES,218.82369995
AEZ1,HighIncome,qe,BAU_noES,0.34137499332
AEZ2,HighIncome,qe,BAU_noES,0.62138468027
AEZ3,HighIncome,qe,BAU_noES,2.2501089573
AEZ4,HighIncome,qe,BAU_noES,2.8322663307
AEZ5,HighIncome,qe,BAU_noES,1.6807342768
AEZ6,HighIncome,qe,BAU_noES,0.5139400363
AEZ7,HighIncome,qe,BAU_noES,0.16069851816
AEZ8,HighIncome,qe,BAU_noES,0.081997714937
AEZ9,HighIncome,qe,BAU_noES,0.079777657986
AEZ10,HighIncome,qe,BAU_noES,0.11226733774
AEZ11,HighIncome,qe,BAU_noES,0.095710285008
AEZ12,HighIncome,qe,BAU_noES,4.29273722693324E-0003
UnSkLab,HighIncome,qe,BAU_noES,19.120874405
SkLab,HighIncome,qe,BAU_noES,18.489315033
Capital,HighIncome,qe,BAU_noES,47.642692566
AEZ1,MidIncome,qe,BAU_noES,0.044056385756
AEZ2,MidIncome,qe,BAU_noES,1.5068215132
AEZ3,MidIncome,qe,BAU_noES,1.2692096233
AEZ4,MidIncome,qe,BAU_noES,1.9646334648
AEZ5,MidIncome,qe,BAU_noES,1.6964985132
AEZ6,MidIncome,qe,BAU_noES,4.5201826096
AEZ7,MidIncome,qe,BAU_noES,0.11697136611
AEZ8,MidIncome,qe,BAU_noES,0.40237110853
AEZ9,MidIncome,qe,BAU_noES,0.26112690568
AEZ10,MidIncome,qe,BAU_noES,0.11548124254
AEZ11,MidIncome,qe,BAU_noES,0.057311020792
AEZ12,MidIncome,qe,BAU_noES,0.084405042231
AEZ13,MidIncome,qe,BAU_noES,5.26965130120516E-0003
AEZ14,MidIncome,qe,BAU_noES,0.022511161864
AEZ15,MidIncome,qe,BAU_noES,0.11625281721
AEZ16,MidIncome,qe,BAU_noES,8.66152331582271E-0005
AEZ17,MidIncome,qe,BAU_noES,1.45539042932796E-0005
AEZ18,MidIncome,qe,BAU_noES,2.67216619249666E-0005
UnSkLab,MidIncome,qe,BAU_noES,4.3817229271
SkLab,MidIncome,qe,BAU_noES,14.988154411
Capital,MidIncome,qe,BAU_noES,54.572151184
AEZ1,LowIncome,qe,BAU_noES,-2.30096280574799E-0003
AEZ2,LowIncome,qe,BAU_noES,-7.96620617620647E-0004
AEZ3,LowIncome,qe,BAU_noES,-5.83817949518561E-0003
AEZ4,LowIncome,qe,BAU_noES,4.50699473731220E-0004
AEZ5,LowIncome,qe,BAU_noES,1.01899837318342E-0004
AEZ6,LowIncome,qe,BAU_noES,7.33659835532308E-0005
AEZ7,LowIncome,qe,BAU_noES,-0.042707148939
AEZ8,LowIncome,qe,BAU_noES,0.27187076211
AEZ9,LowIncome,qe,BAU_noES,0.12864302099
AEZ10,LowIncome,qe,BAU_noES,0.31082811952
AEZ11,LowIncome,qe,BAU_noES,0.21875947714
AEZ12,LowIncome,qe,BAU_noES,0.065583430231
AEZ13,LowIncome,qe,BAU_noES,1.46920974657405E-0005
AEZ14,LowIncome,qe,BAU_noES,0.051322057843
AEZ15,LowIncome,qe,BAU_noES,0.089099153876
AEZ16,LowIncome,qe,BAU_noES,8.68553703185171E-0004
UnSkLab,LowIncome,qe,BAU_noES,2.537348032
SkLab,LowIncome,qe,BAU_noES,1.085718751
Capital,LowIncome,qe,BAU_noES,21.250669479
AEZ1,World,qe,BAU_noES,0.088869191706
AEZ2,World,qe,BAU_noES,1.3789181709
AEZ3,World,qe,BAU_noES,1.346780777
AEZ4,World,qe,BAU_noES,2.136567831
AEZ5,World,qe,BAU_noES,1.68140769
AEZ6,World,qe,BAU_noES,4.1077690125
AEZ7,World,qe,BAU_noES,0.11056768149
AEZ8,World,qe,BAU_noES,0.36799615622
AEZ9,World,qe,BAU_noES,0.23547296226
AEZ10,World,qe,BAU_noES,0.21107837558
AEZ11,World,qe,BAU_noES,0.1262062043
AEZ12,World,qe,BAU_noES,0.081215240061
AEZ13,World,qe,BAU_noES,3.99270839989185E-0003
AEZ14,World,qe,BAU_noES,0.028429022059
AEZ15,World,qe,BAU_noES,0.10306253284
AEZ16,World,qe,BAU_noES,1.79515613126569E-0004
AEZ17,World,qe,BAU_noES,8.24696871859487E-0006
AEZ18,World,qe,BAU_noES,1.42924436659086E-0005
UnSkLab,World,qe,BAU_noES,3.6155083179
SkLab,World,qe,BAU_noES,6.8201584816
Capital,World,qe,BAU_noES,36.8712883
AEZ1,HighIncome,pe,BAU_aES,-0.37595069408
AEZ2,HighIncome,pe,BAU_aES,0.90535396338
AEZ3,HighIncome,pe,BAU_aES,0.16312144697
AEZ4,HighIncome,pe,BAU_aES,-1.0196524858
AEZ5,HighIncome,pe,BAU_aES,3.632622242
AEZ6,HighIncome,pe,BAU_aES,4.8618311882
AEZ7,HighIncome,pe,BAU_aES,-1.6205524206
AEZ8,HighIncome,pe,BAU_aES,-0.89857065678
AEZ9,HighIncome,pe,BAU_aES,0.52074116468
AEZ10,HighIncome,pe,BAU_aES,0.37640619278
AEZ11,HighIncome,pe,BAU_aES,0.6510746479
AEZ12,HighIncome,pe,BAU_aES,1.6356393099
AEZ13,HighIncome,pe,BAU_aES,-0.658444345
AEZ14,HighIncome,pe,BAU_aES,-0.65811437368
AEZ15,HighIncome,pe,BAU_aES,-0.64247173071
AEZ16,HighIncome,pe,BAU_aES,-0.63732671738
AEZ17,HighIncome,pe,BAU_aES,-0.64247179031
AEZ18,HighIncome,pe,BAU_aES,-0.64247173071
UnSkLab,HighIncome,pe,BAU_aES,-0.68976968527
SkLab,HighIncome,pe,BAU_aES,-0.79562819004
Capital,HighIncome,pe,BAU_aES,-0.92659753561
NatRes,HighIncome,pe,BAU_aES,5.6369361877
AEZ1,MidIncome,pe,BAU_aES,-1.0049909353
AEZ2,MidIncome,pe,BAU_aES,0.167576015
AEZ3,MidIncome,pe,BAU_aES,-1.4945927858
AEZ4,MidIncome,pe,BAU_aES,-1.0362496376
AEZ5,MidIncome,pe,BAU_aES,0.1797131449
AEZ6,MidIncome,pe,BAU_aES,2.4615712166
AEZ7,MidIncome,pe,BAU_aES,-1.4860342741
AEZ8,MidIncome,pe,BAU_aES,-1.4377682209
AEZ9,MidIncome,pe,BAU_aES,-2.2826459408
AEZ10,MidIncome,pe,BAU_aES,-2.4458239079
AEZ11,MidIncome,pe,BAU_aES,-2.6192696095
AEZ12,MidIncome,pe,BAU_aES,-3.4988040924
AEZ13,MidIncome,pe,BAU_aES,-1.4590792656
AEZ14,MidIncome,pe,BAU_aES,-0.81833606958
AEZ15,MidIncome,pe,BAU_aES,-0.068009190261
AEZ16,MidIncome,pe,BAU_aES,0.70015764236
AEZ17,MidIncome,pe,BAU_aES,-1.8575731516
AEZ18,MidIncome,pe,BAU_aES,-2.3800008297
UnSkLab,MidIncome,pe,BAU_aES,-0.77284359932
SkLab,MidIncome,pe,BAU_aES,-0.7139351368
Capital,MidIncome,pe,BAU_aES,-0.60336315632
NatRes,MidIncome,pe,BAU_aES,5.3437261581
AEZ1,LowIncome,pe,BAU_aES,-2.6822941303
AEZ2,LowIncome,pe,BAU_aES,-2.7116026878
AEZ3,LowIncome,pe,BAU_aES,-2.9953484535
AEZ4,LowIncome,pe,BAU_aES,-2.8771924973
AEZ5,LowIncome,pe,BAU_aES,-2.7407212257
AEZ6,LowIncome,pe,BAU_aES,-3.3940370083
AEZ7,LowIncome,pe,BAU_aES,-3.1457643509
AEZ8,LowIncome,pe,BAU_aES,-3.3977813721
AEZ9,LowIncome,pe,BAU_aES,-2.4316313267
AEZ10,LowIncome,pe,BAU_aES,-1.6126843691
AEZ11,LowIncome,pe,BAU_aES,-2.0408840179
AEZ12,LowIncome,pe,BAU_aES,-1.8436183929
AEZ13,LowIncome,pe,BAU_aES,-2.3258545399
AEZ14,LowIncome,pe,BAU_aES,-0.40839910507
AEZ15,LowIncome,pe,BAU_aES,-0.187816903
AEZ16,LowIncome,pe,BAU_aES,-1.2325532436
AEZ17,LowIncome,pe,BAU_aES,-2.6071748734
AEZ18,LowIncome,pe,BAU_aES,-2.6229674816
UnSkLab,LowIncome,pe,BAU_aES,-0.20434826612
SkLab,LowIncome,pe,BAU_aES,-0.18855907023
Capital,LowIncome,pe,BAU_aES,-0.2451197505
NatRes,LowIncome,pe,BAU_aES,4.8996105194
AEZ1,World,pe,BAU_aES,-1.0428911448
AEZ2,World,pe,BAU_aES,0.19064968824
AEZ3,World,pe,BAU_aES,-1.3202546835
AEZ4,World,pe,BAU_aES,-1.0443632603
AEZ5,World,pe,BAU_aES,0.63716697693
AEZ6,World,pe,BAU_aES,2.6285040379
AEZ7,World,pe,BAU_aES,-1.5622031689
AEZ8,World,pe,BAU_aES,-1.7883443832
AEZ9,World,pe,BAU_aES,-2.2603311539
AEZ10,World,pe,BAU_aES,-1.964569211
AEZ11,World,pe,BAU_aES,-2.2262101173
AEZ12,World,pe,BAU_aES,-3.2275481224
AEZ13,World,pe,BAU_aES,-1.5300931931
AEZ14,World,pe,BAU_aES,-0.71186316013
AEZ15,World,pe,BAU_aES,-0.12977543473
AEZ16,World,pe,BAU_aES,0.41748178005
AEZ17,World,pe,BAU_aES,-1.8839601278
AEZ18,World,pe,BAU_aES,-2.1481678486
UnSkLab,World,pe,BAU_aES,-0.46160623431
SkLab,World,pe,BAU_aES,-0.41634094715
Capital,World,pe,BAU_aES,-0.43789449334
NatRes,World,pe,BAU_aES,5.2708516121
AEZ1,HighIncome,qe,BAU_aES,-2.01905728317797E-0003
